Date,Order ID,Action,Quantity,Price,Stop Loss,Take Profit
20230908141746,490,SELL,38462,1.07024,1.07076,1.06972
20230908142841,499,SELL,38095,1.070095,1.07062,1.06957
20230908142940,503,SELL,38095,1.070135,1.07066,1.06961
20230908143041,507,SELL,38095,1.069995,1.07052,1.06947
20230908152446,516,BUY,38835,1.069945,1.06943,1.07046
20230908152806,525,BUY,38462,1.06989,1.06937,1.07041
20230908152906,529,SELL,38462,1.06987,1.07039,1.06935
20230908153751,538,SELL,39216,1.06974,1.07025,1.06923
20230908153851,542,SELL,38835,1.069745,1.07026,1.06924
20230908155151,551,BUY,38095,1.069885,1.06936,1.07041
20230908155841,560,SELL,37383,1.069765,1.0703,1.06924
